id,sail,skipper,boat,color,class,twitter
ULT_1,ULT_1,Lionel Lemonchoix,PRINCE DE BRETAGNE,113C0F,ULTIME,@trimaranpdb
ULT_2,ULT_2,Loick Peyron,MAXI SOLO BANQUE POPULAIRE VII,14A6E0,ULTIME,@VoileBanquepop
ULT_3,ULT_3,Thomas Coville,SODEBO ULTIM,A34767,ULTIME,@Sodebo_Voile
ULT_4,ULT_4,Sidney Gavinet,MUSANDAM - OMAN SAIL,73F73D,ULTIME,@Sidneygavignet
ULT_5,ULT_5,Sebastien Josse,EDMOND DE ROTHSCHILD,BC541C,ULTIME,@GitanaTeam
ULT_6,ULT_6,Yann Guichard,SPINDRIFT 2,4687AD,ULTIME,@yannguichard
ULT_7,ULT_7,Yann Elies,PAPREC RECYCLAGE,07D483,ULTIME,@YannElies
ULT_8,ULT_8,Francis Joyon,IDEC SPORT,8519BC,ULTIME,@FrancisJoyon‎
IMO_1,IMO_1,Francois Gabart,MACIF,E7B980,IMOCA,@francoisgabart
IMO_2,IMO_2,Vincent Riou,PRB,9F35DB,IMOCA,@Vincent_Riou
IMO_3,IMO_3,Jeremie Beyou,MAITRE COQ,7F5E96,IMOCA,@JeremieBeyou
IMO_4,IMO_4,Marc Guillemot,SAFRAN,917BAE,IMOCA,@safransailing
IMO_5,IMO_5,Tanguy De Lamotte,INITIATIVES COEUR,D8B4E5,IMOCA,@initiativecoeur
IMO_6,IMO_6,Bertrand De Broc,VOTRE NOM AUTOUR DU MONDE,1418D6,IMOCA,@BertranddeBroc
IMO_7,IMO_7,Louis Burton,BUREAU VALLEE,E8CE0F,IMOCA,@bureauvallee
IMO_8,IMO_8,Armel Tripon,FOR HUMBLE HEROES,0E9B44,IMOCA,@imagineandgo
IMO_9,IMO_9,Alessandro Di Benedetto,TEAM PLASTIQUE - AFM TELETHON,8F685E,IMOCA,@Team_Plastique
M50_01,M50_01,Yves Leblevec,ACTUAL,28C1AF,MULTI50,@TeamACTUAL
M50_02,M50_02,Erwan Leroux,FENETREA - CARDINAL,69331B,MULTI50,@Fenetreacardina
M50_03,M50_03,Loic Fequet,MAITRE JACQUES,9B4234,MULTI50,@MaitreJacques50
M50_04,M50_04,Lalou Roucayrol,ARKEMA REGION AQUITAINE,A48F71,MULTI50,
M50_05,M50_05,Erik Nigon,VERS UN MONDE SANS SIDA,994E0D,MULTI50,@ErikNigon
M50_06,M50_06,Pierre Antoine,OLMIX,EDB490,MULTI50,@OlmixSailing
M50_07,M50_07,Gilles Buekenhout,NOOTKA POUR ARCHITECTES DE L'URGENCE,6EC23C,MULTI50,@nootka
M50_08,M50_08,Gilles Lamire,RENNES METROPOLE - SAINT MALO AGGLOMERATION,9AEA34,MULTI50,@lamiregilles
M50_09,M50_09,Etienne Hochede,PIRÂ² CCI FECAMP BOLBEC,E755B3,MULTI50,
M50_10,M50_10,Alain Delhumeau,ROYAN,8E3608,MULTI50,@team_delhumeau
