sail,skipper,boat,boat2,color,sailTrue,twitter,twitter2
AH,Adrien Hardy,Agir Recouvrement,AGIR RECOUVREMENT,558a42,,,
ET,Erwan Tabarly,Armor Lux - Comptoir de la mer,ARMOR LUX - COMPTOIR DE LA MER,06040f,,,
CH,Corentin Horeau,Bretagne - Crédit Mutuel Espoir,BRETAGNE - CREDIT MUTUEL ESPOIR,9ba5bd,190,,TeamBretagneCMB
AM,Anthony Marchand,Bretagne - Crédit Mutuel Performance,BRETAGNE - CREDIT MUTUEL PERFORMANCE,12cf10,25,,TeamBretagneCMB
GM,Gildas Morvan,Cercle Vert,CERCLE VERT,fac200,5,gildasmorvan,
YR,Yoann Richomme,DLBC - Module Création,DLBC - MODULE CREATION,bf9c7c,16,yoannrichomme,
TC,Thierry Chabagny,Gedimat,GEDIMAT,013983,,ThierryChabagny,
YE,Yann Elies,Groupe Queguiner - Leucémie Espoir,GROUPE QUEGUINER - LEUCEMIE ESPOIR,0b2e82,10,YannElies,
KSM,Kristin Songe Moller,Sponsor Me,SPONSOR ME,c86347,,KristinSailing,
DG,Damien Guillou,La Solidarité Mutualiste,LA SOLIDARITE MUTUALISTE,d01f27,100,,
ST,Simon Troel,Les Recycleurs Bretons,LES RECYCLEURS BRETONS,9ea1a2,,,
AGP,Arnaud Godart Philippe,Régates Sénonaises,REGATES SENONAISES,3399c1,,,
FD,Frédéric Duthil,Sepalumic,SEPALUMIC,f10200,7,FredDuthilThe,
FDE,Fabien Delahaye,Skipper Macif 2012,SKIPPER MACIF 2012,a71e2e,,fabiendelahaye,
EB,Eric Baray,Tektôn - AGM / Région Martinique,TEKTON / AGM - REGION MARTINIQUE,1e9436,,,
