sail,skipper,boat,color,twitter,twitter2
ESP4,Javier Sanso,Acciona 100% EcoPowered,d01f27,AccionaSailing,
FRA001,Jérémie Beyou,Maitre CoQ,f10200,JeremieBeyou,
FRA06,Jean-Pierre Dick,Virbac Paprec 3,3399c1,Dick_JeanPierre,
FRA14,Arnaud Boissières,Akena Verandas,12cf10,AKENAVerandas60,
FRA19,Armel Le Cléac'h,Banque Populaire,9ba5bd,VoileBanquePop,
FRA25,Marc Guillemot,Safran,eb6c39,,
FRA29,Samantha Davies,Savéol,65ac36,samanthadavies,
FRA301,François Gabart,Macif,0b2e82,francoisgabart,Macif60
FRA35,Louis Burton,Bureau Vallée,1e9436,,
FRA360,Kito De Pavant,Groupe Bel,a71e2e,GroupeBel60,
FRA44,Alessandro Di Benedetto,Team Plastique,558a42,Team_Plastique,
FRA59,Jean Le Cam,SynerCiel,9ea1a2,LeCam_SynerCiel,
FRA62,Bertrand De Broc,Votre nom autour du monde,bf9c7c,BertranddeBroc,
FRA72,Tanguy Delamotte,Initiatives coeur,cc0107,TanguyDeLamotte,
FRA85,Vincent Riou,PRB,fe640a,Vincent_Riou,
GBR3,Mike Golding,Gamesa,a5ad00,Mike_Golding,
GBR99,Alex Thomson,Hugo Boss,06040f,Team_Plastique,
POL2,Gutowski Zbigniew,Energa,c86347,,
SUI2012,Bernard Stamm,Cheminées Poujoulat,fac200,Poujoulat_Stamm,
SUI9,Dominique Wavre,Mirabaud,013983,,
