sail,skipper,country,boat,color,class,twitter,twitter_skipper1,twitter_skipper2
ESP33,Didac Costa,ESP,One Planet One Ocean,4ab5ff,imoca,didacvg2016,,
FRA1,Jean Le Cam,FRA,Finistère Mer Vent,8b8b8b,imoca,lecamjean,,
FRA29,Yann Eliès,FRA,Quéguiner - Leucémie Espoir,a1a1a1,imoca,yannelies,,
FRA06,Jean-Pierre Dick,FRA,StMichel-Virbac,ff8e47,imoca,jeanpierre_dick,,
FRA1000,Eric Bellion,FRA,Comme un seul homme,2222ff,imoca,comme1seulhomme,,
FRA109,Tanguy De Lamotte,FRA,Initiatives-cœur,ff4493,imoca,initiativecoeur,tanguydelamotte,
FRA121,Thomas Ruyant,FRA,Le Souffle Du Nord,d8bf0b,imoca,LeSouffleDuNord,thomasruyant,
FRA14,Arnaud Boissières,FRA,La Mie Câline,12bab9,imoca,lamiecaline,caliboissieres,
FRA16,Sébastien Josse,FRA,Edmond De Rothschild,b6b6b6,imoca,gitanateam,sebjosse,
FRA18,Armel Le Cléac’h,FRA,Banque Populaire VIII,0044a0,imoca,voilebanquepop,,
FRA1859,Paul Meilhat,FRA,SMA,1152fd,imoca,smavoile,paulmeilhat,
FRA19,Jérémie Beyou,FRA,Maître CoQ,ff0000,imoca,jeremiebeyou,,
FRA21,Bertrand De Broc,FRA,MACSF,d91e00,imoca,voilemacsf,bertranddebroc,
FRA25,Morgan Lagravière,FRA,Safran,a1a1a1,imoca,safransailing,,
FRA30,Kito De Pavant,FRA,Bastide Otio,169dda,imoca,otiosas,Made_in_Midi,bastidemedical
FRA35,Louis Burton,FRA,Bureau Vallée,4cc503,imoca,bureauvallee,,
FRA1949,Fabrice Amedeo,FRA,Newrest - Matmut,6b6b6b,imoca,fabriceamedeo,,
FRA69,Sébastien Destremau,FRA,TechnoFirst - FaceOcean,5b82ff,imoca,teamfaceocean,destopnews,
FRA72,Romain Attanasio,FRA,Famille Mary - Etamine Du Lys,ffbc20,imoca,Etaminedulys,romainattanasio,
FRA85,Vincent Riou,FRA,PRB,ee6c05,imoca,prbvoile,Vincent_Riou,
FRA92,Stéphane Le Diraison,FRA,Compagnie Du Lit - Boulogne Billancourt,4389f1,imoca,compagniedulit,stephlediraison,
GBR99,Alex Thomson,GBR,Hugo Boss,000000,imoca,hugoboss,ATRacing99,
HUN77,Nándor Fa,HUN,Spirit Of Hungary,7fa3e4,imoca,spiritofhungary,,
IRL3,Enda O’Coineen,IRL,Kilcullen Voyager - Team Ireland,3e9f00,imoca,kilcullen,,
JPN11,Kojiro Shiraishi,JPN,Spirit Of Yukoh,4ab4ff,imoca,kojiro_jp11,,
NED160,Pieter Heerema,NED,No Way Back,e7c549,imoca,NoWayBack,,
NZL80,Conrad Colman,NZL,100 % Natural Energy,12bab9,imoca,conradcolman,,
SUI7,Alan Roura,SUI,La Fabrique,fe513d,imoca,lafabriquecornu,alanroura,
USA37,Rich Wilson,USA,Great American IV,e655f0,imoca,rich_wilson,,
